,,,-44.31999847E-3,180.00000000,,,,,-44.31999847E-3,-4.00000000,
,,,-44.28000003E-3,180.00000000,,,,,-44.28000003E-3,-4.00000000,
,,,-44.23999786E-3,180.00000000,,,,,-44.23999786E-3,-4.00000000,
,,,-44.19999942E-3,180.00000000,,,,,-44.19999942E-3,-4.00000000,
,,,-44.15999725E-3,180.00000000,,,,,-44.15999725E-3,-4.00000000,
,,,-44.11999881E-3,180.00000000,,,,,-44.11999881E-3,-2.0000000,
,,,-44.08000037E-3,180.00000000,,,,,-44.08000037E-3,-2.0000000,
,,,-44.03999820E-3,178.00000000,,,,,-44.03999820E-3,-2.0000000,
,,,-43.99999976E-3,176.00000000,,,,,-43.99999976E-3,-4.00000000,
,,,-43.95999759E-3,174.00000000,,,,,-43.95999759E-3,-4.00000000,
,,,-43.91999915E-3,172.00000000,,,,,-43.91999915E-3,-2.0000000,
,,,-43.88000071E-3,174.00000000,,,,,-43.88000071E-3,-4.00000000,
,,,-43.83999854E-3,172.00000000,,,,,-43.83999854E-3,-2.0000000,
,,,-43.80000010E-3,170.00000000,,,,,-43.80000010E-3,-4.00000000,
,,,-43.75999793E-3,168.00000000,,,,,-43.75999793E-3,-4.00000000,
,,,-43.71999949E-3,166.00000000,,,,,-43.71999949E-3,-4.00000000,
,,,-43.67999732E-3,164.00000000,,,,,-43.67999732E-3,-4.00000000,
,,,-43.63999888E-3,162.00000000,,,,,-43.63999888E-3,-4.00000000,
,,,-43.60000044E-3,162.00000000,,,,,-43.60000044E-3,-4.00000000,
,,,-43.55999827E-3,162.00000000,,,,,-43.55999827E-3,-2.0000000,
,,,-43.51999983E-3,162.00000000,,,,,-43.51999983E-3,-4.00000000,
,,,-43.47999766E-3,160.00000000,,,,,-43.47999766E-3,-4.00000000,
,,,-43.43999922E-3,160.00000000,,,,,-43.43999922E-3,-4.00000000,
,,,-43.39999706E-3,158.00000000,,,,,-43.39999706E-3,-4.00000000,
,,,-43.35999861E-3,156.00000000,,,,,-43.35999861E-3,-4.00000000,
,,,-43.32000017E-3,154.00000000,,,,,-43.32000017E-3,-4.00000000,
,,,-43.27999800E-3,152.00000000,,,,,-43.27999800E-3,-4.00000000,
,,,-43.23999956E-3,152.00000000,,,,,-43.23999956E-3,-4.00000000,
,,,-43.19999740E-3,150.00000000,,,,,-43.19999740E-3,-4.00000000,
,,,-43.15999895E-3,148.0000000,,,,,-43.15999895E-3,-4.00000000,
,,,-43.12000051E-3,148.0000000,,,,,-43.12000051E-3,-2.0000000,
,,,-43.07999834E-3,144.0000000,,,,,-43.07999834E-3,-4.00000000,
,,,-43.03999990E-3,140.0000000,,,,,-43.03999990E-3,-4.00000000,
,,,-42.99999774E-3,140.0000000,,,,,-42.99999774E-3,-4.00000000,
,,,-42.95999929E-3,138.0000000,,,,,-42.95999929E-3,-4.00000000,
,,,-42.91999713E-3,136.0000000,,,,,-42.91999713E-3,-4.00000000,
,,,-42.87999868E-3,136.0000000,,,,,-42.87999868E-3,-4.00000000,
,,,-42.84000024E-3,136.0000000,,,,,-42.84000024E-3,-4.00000000,
,,,-42.79999807E-3,132.0000000,,,,,-42.79999807E-3,-2.0000000,
,,,-42.75999963E-3,130.0000000,,,,,-42.75999963E-3,-4.00000000,
,,,-42.71999747E-3,128.0000000,,,,,-42.71999747E-3,-4.00000000,
,,,-42.67999902E-3,126.0000000,,,,,-42.67999902E-3,-4.00000000,
,,,-42.64000058E-3,124.0000000,,,,,-42.64000058E-3,-4.00000000,
,,,-42.59999841E-3,120.0000000,,,,,-42.59999841E-3,-4.00000000,
,,,-42.55999997E-3,118.0000000,,,,,-42.55999997E-3,-4.00000000,
,,,-42.51999781E-3,116.0000000,,,,,-42.51999781E-3,-4.00000000,
,,,-42.47999936E-3,112.0000000,,,,,-42.47999936E-3,-4.00000000,
,,,-42.43999720E-3,112.0000000,,,,,-42.43999720E-3,-4.00000000,
,,,-42.39999875E-3,108.0000000,,,,,-42.39999875E-3,-4.00000000,
,,,-42.36000031E-3,108.0000000,,,,,-42.36000031E-3,-4.00000000,
,,,-42.31999815E-3,102.0000000,,,,,-42.31999815E-3,-2.0000000,
,,,-42.27999970E-3,98.000000000,,,,,-42.27999970E-3,-2.0000000,
